Muscle,Machine,ExerciseName,MinAge,MaxRecommendedAge,ImpactLevel,SkillLevel
Chest,Barbell,Barbell Bench Press,16,60,Medium,Intermediate
Chest,Barbell,Incline Barbell Bench Press,16,60,Medium,Intermediate
Chest,Barbell,Decline Barbell Bench Press,16,55,Medium,Intermediate
Chest,Barbell,Close Grip Bench Press,18,55,High,Advanced
Chest,Barbell,Guillotine Press,21,45,Very High,Advanced
Chest,Barbell,Reverse Grip Bench Press,18,50,High,Advanced
Chest,Dumbbell,Dumbbell Flyes,14,70,Low,Beginner
Chest,Dumbbell,Incline Dumbbell Press,16,65,Medium,Intermediate
Chest,Dumbbell,Flat Dumbbell Press,16,65,Medium,Intermediate
Chest,Dumbbell,Decline Dumbbell Press,16,60,Medium,Intermediate
Chest,Dumbbell,Dumbbell Pullover,16,65,Medium,Intermediate
Chest,Dumbbell,Neutral Grip Dumbbell Press,14,70,Low,Beginner
Chest,Dumbbell,Single Arm Dumbbell Press,16,65,Medium,Intermediate
Chest,Cable,Cable Crossovers,14,75,Low,Beginner
Chest,Cable,Low to High Cable Fly,14,75,Low,Beginner
Chest,Cable,High to Low Cable Fly,14,75,Low,Beginner
Chest,Cable,Standing Cable Chest Press,14,75,Low,Beginner
Chest,Machine,Pec Deck Machine Fly,14,75,Low,Beginner
Chest,Machine,Seated Chest Press,14,75,Low,Beginner
Chest,Machine,Hammer Strength Chest Press,16,65,Medium,Intermediate
Chest,Machine,Incline Chest Press Machine,16,65,Medium,Intermediate
Chest,Machine,Decline Chest Press Machine,16,60,Medium,Intermediate
Chest,Smith Machine,Smith Machine Bench Press,16,65,Medium,Beginner
Chest,Smith Machine,Smith Incline Press,16,65,Medium,Beginner
Chest,Bodyweight,Push-ups,12,80,Low,Beginner
Chest,Bodyweight,Wide Push-ups,12,75,Low,Beginner
Chest,Bodyweight,Diamond Push-ups,14,70,Medium,Intermediate
Chest,Bodyweight,Decline Push-ups,16,60,Medium,Intermediate
Chest,Bodyweight,Archer Push-ups,18,45,High,Advanced
Chest,Bodyweight,Ring Push-ups,18,50,High,Advanced
Chest,Bodyweight,Dips,18,55,High,Intermediate
Chest,Kettlebell,Kettlebell Floor Press,16,65,Medium,Intermediate
Chest,Resistance Band,Band Chest Fly,12,80,Low,Beginner
Back,Barbell,Bent Over Barbell Rows,16,60,High,Intermediate
Back,Barbell,Pendlay Rows,18,50,High,Advanced
Back,Barbell,T-Bar Rows,16,60,Medium,Intermediate
Back,Barbell,Deadlifts,18,55,Very High,Advanced
Back,Barbell,Rack Pulls,18,55,Very High,Advanced
Back,Barbell,Meadows Rows,18,50,High,Advanced
Back,Dumbbell,One-Arm Dumbbell Rows,14,70,Low,Beginner
Back,Dumbbell,Chest Supported Rows,14,75,Low,Beginner
Back,Dumbbell,Renegade Rows,18,50,High,Advanced
Back,Dumbbell,Dumbbell Deadlift,16,65,Medium,Intermediate
Back,Dumbbell,Dumbbell Shrugs,14,70,Low,Beginner
Back,Cable,Lat Pulldown,14,75,Low,Beginner
Back,Cable,Close Grip Lat Pulldown,14,75,Low,Beginner
Back,Cable,Straight Arm Pulldown,14,75,Low,Beginner
Back,Cable,Seated Cable Rows,14,75,Low,Beginner
Back,Cable,Face Pulls,12,80,Low,Beginner
Back,Cable,Rope Pullover,14,75,Low,Beginner
Back,Machine,Machine Rows,14,75,Low,Beginner
Back,Machine,Assisted Pull-up Machine,12,80,Low,Beginner
Back,Machine,Reverse Pec Deck,12,80,Low,Beginner
Back,Machine,High Row Machine,14,70,Low,Beginner
Back,Bodyweight,Wide Grip Pull-ups,16,60,Medium,Intermediate
Back,Bodyweight,Chin-ups,14,65,Medium,Intermediate
Back,Bodyweight,Neutral Grip Pull-ups,14,70,Medium,Intermediate
Back,Bodyweight,Inverted Rows,12,80,Low,Beginner
Back,Bodyweight,Australian Pull-ups,12,80,Low,Beginner
Back,Kettlebell,Kettlebell Swings,18,55,High,Intermediate
Back,Resistance Band,Band Rows,12,80,Low,Beginner
Back,Trap Bar,Trap Bar Deadlift,18,60,High,Intermediate
Legs,Barbell,Back Squats,16,60,Very High,Intermediate
Legs,Barbell,Front Squats,16,60,High,Intermediate
Legs,Barbell,Zercher Squats,18,50,Very High,Advanced
Legs,Barbell,Romanian Deadlifts,16,60,High,Intermediate
Legs,Barbell,Sumo Deadlifts,18,55,Very High,Advanced
Legs,Barbell,Hip Thrusts,16,70,Medium,Intermediate
Legs,Barbell,Good Mornings,18,50,Very High,Advanced
Legs,Barbell,Walking Lunges,14,70,Medium,Beginner
Legs,Dumbbell,Goblet Squats,14,75,Low,Beginner
Legs,Dumbbell,Dumbbell Lunges,14,70,Medium,Beginner
Legs,Dumbbell,Step-ups,12,80,Low,Beginner
Legs,Dumbbell,Stiff Leg Dumbbell Deadlift,16,60,High,Intermediate
Legs,Dumbbell,Dumbbell Bulgarian Split Squats,16,60,High,Intermediate
Legs,Machine,Leg Extensions,14,75,Low,Beginner
Legs,Machine,Seated Leg Curl,14,75,Low,Beginner
Legs,Machine,Lying Leg Curl,14,75,Low,Beginner
Legs,Machine,Hack Squat Machine,16,65,Medium,Intermediate
Legs,Machine,Smith Machine Squats,16,65,Medium,Beginner
Legs,Machine,Standing Calf Raise Machine,12,80,Low,Beginner
Legs,Machine,Seated Calf Raise Machine,12,80,Low,Beginner
Legs,Leg Press,Heavy Leg Press,16,65,High,Intermediate
Legs,Leg Press,Single Leg Press,14,70,Medium,Intermediate
Legs,Bodyweight,Bulgarian Split Squats,16,60,High,Intermediate
Legs,Bodyweight,Bodyweight Squats,12,80,Low,Beginner
Legs,Bodyweight,Jump Squats,16,45,High,Intermediate
Legs,Bodyweight,Pistol Squats,18,45,Very High,Advanced
Legs,Bodyweight,Wall Sit,12,80,Low,Beginner
Legs,Bodyweight,Walking Lunges,12,75,Low,Beginner
Legs,Bodyweight,Glute Bridges,12,80,Low,Beginner
